"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "XML", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\BERG\bot-whatsapp-atendimento\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 18, 80
"c:\Users\BERG\bot-whatsapp-atendimento\.vs\VSWorkspaceState.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\BERG\bot-whatsapp-atendimento\.vs\bot-whatsapp-atendimento\v17\DocumentLayout.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\BERG\bot-whatsapp-atendimento\CONTRIBUTING.md", "Markdown", 0, 0, 0, 215, 0, 0, 0, 0, 0, 0, 61, 276
"c:\Users\BERG\bot-whatsapp-atendimento\DOWNLOAD.md", "Markdown", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 30, 124
"c:\Users\BERG\bot-whatsapp-atendimento\GITHUB_SETUP.md", "Markdown", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 34, 127
"c:\Users\BERG\bot-whatsapp-atendimento\README.md", "Markdown", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 84, 385
"c:\Users\BERG\bot-whatsapp-atendimento\README_OLLAMA_INTEGRATION.md", "Markdown", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 53, 239
"c:\Users\BERG\bot-whatsapp-atendimento\README_PARTS_SYSTEM.md", "Markdown", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 49, 203
"c:\Users\BERG\bot-whatsapp-atendimento\TESTE_COMPLETO_RELATORIO.md", "Markdown", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 40, 202
"c:\Users\BERG\bot-whatsapp-atendimento\UBUNTU_SERVER_SETUP.md", "Markdown", 0, 0, 0, 346, 0, 0, 0, 0, 0, 0, 103, 449
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\EMAIL_SETUP.md", "Markdown", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 38, 139
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\FIX_OLLAMA_ISSUE.md", "Markdown", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 55, 180
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\NOVAS_FUNCIONALIDADES.md", "Markdown", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 42, 176
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\README_FIX.md", "Markdown", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 26, 99
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\activate-ai.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 57, 0, 7, 10, 74
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\bot.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 410, 0, 48, 84, 542
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\check-db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 36, 0, 3, 7, 46
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\config\config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 106, 0, 12, 14, 132
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\config\email.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 152, 0, 18, 20, 190
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\db\database.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 736, 0, 34, 88, 858
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\docs\README.md", "Markdown", 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 77, 384
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\ensure-root-access.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 110, 0, 5, 21, 136
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\final-test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 82, 0, 9, 27, 118
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\fix-root-user.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 48, 0, 4, 13, 65
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\handlers\commands.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1258, 0, 108, 320, 1686
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\init-db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 359, 0, 17, 31, 407
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\nodemon.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\package-lock.json", "JSON", 0, 4144, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4145
"c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
