Date : 2025-08-04 08:23:00
Directory : c:\Users\BERG\bot-whatsapp-atendimento
Total : 127 files,  31434 codes, 535 comments, 2717 blanks, all 34686 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          9 |     13,805 |          0 |          5 |     13,810 |
| TypeScript JSX     |         61 |      9,305 |         95 |        846 |     10,246 |
| JavaScript         |         28 |      4,892 |        409 |        983 |      6,284 |
| Markdown           |         13 |      2,291 |          0 |        692 |      2,983 |
| TypeScript         |          8 |        930 |         31 |        166 |      1,127 |
| PostCSS            |          1 |        117 |          0 |          6 |        123 |
| YAML               |          1 |         62 |          0 |         18 |         80 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |        127 |     31,434 |        535 |      2,717 |     34,686 |
| . (Files)                                                                                   |         17 |     11,203 |          4 |        469 |     11,676 |
| .github                                                                                     |          1 |         62 |          0 |         18 |         80 |
| .github\workflows                                                                           |          1 |         62 |          0 |         18 |         80 |
| .vs                                                                                         |          2 |         29 |          0 |          0 |         29 |
| .vs (Files)                                                                                 |          1 |          6 |          0 |          0 |          6 |
| .vs\bot-whatsapp-atendimento                                                                |          1 |         23 |          0 |          0 |         23 |
| .vs\bot-whatsapp-atendimento\v17                                                            |          1 |         23 |          0 |          0 |         23 |
| bot-whatsapp                                                                                |         34 |      9,796 |        409 |      1,217 |     11,422 |
| bot-whatsapp (Files)                                                                        |         22 |      6,222 |        148 |        482 |      6,852 |
| bot-whatsapp\config                                                                         |          2 |        258 |         30 |         34 |        322 |
| bot-whatsapp\db                                                                             |          1 |        736 |         34 |         88 |        858 |
| bot-whatsapp\docs                                                                           |          1 |        307 |          0 |         77 |        384 |
| bot-whatsapp\handlers                                                                       |          1 |      1,258 |        108 |        320 |      1,686 |
| bot-whatsapp\scripts                                                                        |          2 |        199 |         22 |         47 |        268 |
| bot-whatsapp\utils                                                                          |          5 |        816 |         67 |        169 |      1,052 |
| public                                                                                      |          5 |          5 |          0 |          0 |          5 |
| src                                                                                         |         68 |     10,339 |        122 |      1,013 |     11,474 |
| src\app                                                                                     |         18 |      5,161 |         88 |        444 |      5,693 |
| src\app (Files)                                                                             |          3 |        348 |          4 |         19 |        371 |
| src\app\api                                                                                 |          4 |        897 |         27 |        154 |      1,078 |
| src\app\api\config                                                                          |          2 |        541 |         18 |         87 |        646 |
| src\app\api\config (Files)                                                                  |          1 |        274 |         10 |         48 |        332 |
| src\app\api\config\messages                                                                 |          1 |        267 |          8 |         39 |        314 |
| src\app\api\orders                                                                          |          1 |        162 |          4 |         31 |        197 |
| src\app\api\parts                                                                           |          1 |        194 |          5 |         36 |        235 |
| src\app\config                                                                              |          2 |      1,385 |         23 |         95 |      1,503 |
| src\app\config (Files)                                                                      |          1 |        849 |         10 |         59 |        918 |
| src\app\config\messages                                                                     |          1 |        536 |         13 |         36 |        585 |
| src\app\os                                                                                  |          4 |      1,104 |         19 |         80 |      1,203 |
| src\app\os (Files)                                                                          |          1 |        254 |          4 |         17 |        275 |
| src\app\os\abertas                                                                          |          1 |        242 |          5 |         20 |        267 |
| src\app\os\em-andamento                                                                     |          1 |        276 |          5 |         20 |        301 |
| src\app\os\finalizadas                                                                      |          1 |        332 |          5 |         23 |        360 |
| src\app\parts                                                                               |          1 |        297 |          1 |         28 |        326 |
| src\app\pecas                                                                               |          1 |        353 |          4 |         20 |        377 |
| src\app\tempo-medio                                                                         |          1 |        361 |          6 |         23 |        390 |
| src\app\test                                                                                |          1 |         64 |          0 |          6 |         70 |
| src\app\usuarios                                                                            |          1 |        352 |          4 |         19 |        375 |
| src\components                                                                              |         48 |      5,158 |         34 |        562 |      5,754 |
| src\components\ui                                                                           |         48 |      5,158 |         34 |        562 |      5,754 |
| src\hooks                                                                                   |          1 |         15 |          0 |          5 |         20 |
| src\lib                                                                                     |          1 |          5 |          0 |          2 |          7 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                    | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\BERG\bot-whatsapp-atendimento\.github\workflows\ci.yml                             | YAML               |         62 |          0 |         18 |         80 |
| c:\Users\BERG\bot-whatsapp-atendimento\.vs\VSWorkspaceState.json                            | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\BERG\bot-whatsapp-atendimento\.vs\bot-whatsapp-atendimento\v17\DocumentLayout.json | JSON               |         23 |          0 |          0 |         23 |
| c:\Users\BERG\bot-whatsapp-atendimento\CONTRIBUTING.md                                      | Markdown           |        215 |          0 |         61 |        276 |
| c:\Users\BERG\bot-whatsapp-atendimento\DOWNLOAD.md                                          | Markdown           |         94 |          0 |         30 |        124 |
| c:\Users\BERG\bot-whatsapp-atendimento\GITHUB_SETUP.md                                      | Markdown           |         93 |          0 |         34 |        127 |
| c:\Users\BERG\bot-whatsapp-atendimento\README.md                                            | Markdown           |        301 |          0 |         84 |        385 |
| c:\Users\BERG\bot-whatsapp-atendimento\README_OLLAMA_INTEGRATION.md                         | Markdown           |        186 |          0 |         53 |        239 |
| c:\Users\BERG\bot-whatsapp-atendimento\README_PARTS_SYSTEM.md                               | Markdown           |        154 |          0 |         49 |        203 |
| c:\Users\BERG\bot-whatsapp-atendimento\TESTE_COMPLETO_RELATORIO.md                          | Markdown           |        162 |          0 |         40 |        202 |
| c:\Users\BERG\bot-whatsapp-atendimento\UBUNTU_SERVER_SETUP.md                               | Markdown           |        346 |          0 |        103 |        449 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\EMAIL_SETUP.md                          | Markdown           |        101 |          0 |         38 |        139 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\FIX_OLLAMA_ISSUE.md                     | Markdown           |        125 |          0 |         55 |        180 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\NOVAS_FUNCIONALIDADES.md                | Markdown           |        134 |          0 |         42 |        176 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\README_FIX.md                           | Markdown           |         73 |          0 |         26 |         99 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\activate-ai.js                          | JavaScript         |         57 |          7 |         10 |         74 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\bot.js                                  | JavaScript         |        410 |         48 |         84 |        542 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\check-db.js                             | JavaScript         |         36 |          3 |          7 |         46 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\config\config.js                        | JavaScript         |        106 |         12 |         14 |        132 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\config\email.js                         | JavaScript         |        152 |         18 |         20 |        190 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\db\database.js                          | JavaScript         |        736 |         34 |         88 |        858 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\docs\README.md                          | Markdown           |        307 |          0 |         77 |        384 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\ensure-root-access.js                   | JavaScript         |        110 |          5 |         21 |        136 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\final-test.js                           | JavaScript         |         82 |          9 |         27 |        118 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\fix-root-user.js                        | JavaScript         |         48 |          4 |         13 |         65 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\handlers\commands.js                    | JavaScript         |      1,258 |        108 |        320 |      1,686 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\init-db.js                              | JavaScript         |        359 |         17 |         31 |        407 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\nodemon.json                            | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\package-lock.json                       | JSON               |      4,144 |          0 |          1 |      4,145 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\package.json                            | JSON               |         32 |          0 |          1 |         33 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\scripts\install-ollama.js               | JavaScript         |        151 |         14 |         34 |        199 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\scripts\test-ollama.js                  | JavaScript         |         48 |          8 |         13 |         69 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\setup-complete.js                       | JavaScript         |         79 |          7 |         17 |        103 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\simple-test.js                          | JavaScript         |         32 |          4 |          9 |         45 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\start.js                                | JavaScript         |         49 |          3 |          9 |         61 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\test-ai.js                              | JavaScript         |         34 |          3 |          8 |         45 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\test-command-handler.js                 | JavaScript         |        109 |         12 |         28 |        149 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\test-new-features.js                    | JavaScript         |        114 |         13 |         29 |        156 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\test-root-recognition.js                | JavaScript         |         43 |          8 |         15 |         66 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\utils\ai.js                             | JavaScript         |         28 |          0 |          5 |         33 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\utils\backup.js                         | JavaScript         |        194 |         22 |         48 |        264 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\utils\logger.js                         | JavaScript         |        154 |         26 |         33 |        213 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\utils\ollama-fix.js                     | JavaScript         |        238 |         14 |         49 |        301 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\utils\ollama.js                         | JavaScript         |        202 |          5 |         34 |        241 |
| c:\Users\BERG\bot-whatsapp-atendimento\bot-whatsapp\verify-ai.js                            | JavaScript         |         47 |          5 |         10 |         62 |
| c:\Users\BERG\bot-whatsapp-atendimento\components.json                                      | JSON               |         21 |          0 |          0 |         21 |
| c:\Users\BERG\bot-whatsapp-atendimento\eslint.config.mjs                                    | JavaScript         |         12 |          0 |          5 |         17 |
| c:\Users\BERG\bot-whatsapp-atendimento\next-env.d.ts                                        | TypeScript         |          0 |          4 |          2 |          6 |
| c:\Users\BERG\bot-whatsapp-atendimento\next.config.ts                                       | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\BERG\bot-whatsapp-atendimento\package-lock.json                                    | JSON               |      9,498 |          0 |          1 |      9,499 |
| c:\Users\BERG\bot-whatsapp-atendimento\package.json                                         | JSON               |         76 |          0 |          1 |         77 |
| c:\Users\BERG\bot-whatsapp-atendimento\postcss.config.mjs                                   | JavaScript         |          4 |          0 |          2 |          6 |
| c:\Users\BERG\bot-whatsapp-atendimento\public\file.svg                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\BERG\bot-whatsapp-atendimento\public\globe.svg                                     | XML                |          1 |          0 |          0 |          1 |
| c:\Users\BERG\bot-whatsapp-atendimento\public\next.svg                                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\BERG\bot-whatsapp-atendimento\public\vercel.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\BERG\bot-whatsapp-atendimento\public\window.svg                                    | XML                |          1 |          0 |          0 |          1 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\app\api\config\messages\route.ts                 | TypeScript         |        267 |          8 |         39 |        314 |
| c:\Users\BERG\bot-whatsapp-atendimento\src\app\api\config\route.ts                          | TypeScript         |        274 |         10 |         48 |        332 |
